,薬効分類名称,一般名,剤形,総計(処方数量),男_0～4歳,男_5～9歳,男_10～14歳,男_15～19歳,男_20～24歳,男_25～29歳,男_30～34歳,男_35～39歳,男_40～44歳,男_45～49歳,男_50～54歳,男_55～59歳,男_60～64歳,男_65～69歳,男_70～74歳,男_75～79歳,男_80～84歳,男_85～89歳,男_90～94歳,男_95～99歳,男_100歳以上,女_0～4歳,女_5～9歳,女_10～14歳,女_15～19歳,女_20～24歳,女_25～29歳,女_30～34歳,女_35～39歳,女_40～44歳,女_45～49歳,女_50～54歳,女_55～59歳,女_60～64歳,女_65～69歳,女_70～74歳,女_75～79歳,女_80～84歳,女_85～89歳,女_90～94歳,女_95～99歳,女_100歳以上
1432,ビタミンＫ剤,※未登録：メナテトレノンカプセル１５ｍｇ「トーワ」,カプセル剤,14880422.0,0.0,2091.0,14673.0,14676.0,18087.0,16085.0,17965.0,22893.0,44358.0,70874.0,114324.0,148078.0,163673.0,204388.0,313763.0,333344.0,371364.0,227160.0,115542.0,23517.0,0.0,0.0,0.0,4162.0,14101.0,17879.0,31555.0,33351.0,52426.0,86560.0,168500.0,326749.0,542787.0,843760.0,1117557.0,1907748.0,2174096.0,2322596.0,1764163.0,930132.0,267594.0,31477.0
3545,抗結核剤,エタンブトール塩酸塩,錠剤,14866252.0,0.0,0.0,0.0,9616.0,52553.0,51318.0,51434.0,40096.0,56039.0,78839.0,153351.0,214643.0,293396.0,436630.0,787795.0,850341.0,626236.0,280039.0,90859.0,9553.0,0.0,0.0,0.0,0.0,4235.0,51032.0,52587.0,40845.0,35246.0,108153.0,264450.0,505077.0,730170.0,1114187.0,1524416.0,2217590.0,1931566.0,1385904.0,584977.0,176991.0,39497.0,0.0
3472,抗パーキンソン剤,ロピニロール塩酸塩,錠剤,14860944.0,0.0,0.0,0.0,0.0,1185.0,0.0,6012.0,8407.0,34627.0,74072.0,208679.0,358260.0,539778.0,847849.0,1400316.0,1450785.0,1069149.0,500034.0,100435.0,10916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3604.0,6688.0,23653.0,53731.0,157419.0,281114.0,492133.0,857149.0,1689909.0,1798459.0,1611740.0,870274.0,304075.0,36631.0,0.0
4995,精神神経用剤,アセナピンマレイン酸塩,錠剤,14774038.0,0.0,0.0,3441.0,40025.0,127925.0,252387.0,393115.0,575948.0,797975.0,1026159.0,1163534.0,905466.0,658553.0,376059.0,287554.0,151691.0,88856.0,53883.0,20103.0,4045.0,0.0,0.0,0.0,8355.0,96245.0,215443.0,365801.0,528273.0,716274.0,902444.0,1143934.0,1129352.0,833852.0,587070.0,397285.0,347071.0,226027.0,150452.0,113296.0,62106.0,12173.0,1267.0
2311,健胃消化剤,ビオヂアスターゼ１０００配合剤,カプセル剤,14756398.0,0.0,1458.0,14194.0,31975.0,26096.0,37566.0,46709.0,66347.0,85466.0,153793.0,229662.0,268374.0,350917.0,493944.0,819280.0,1033942.0,1047521.0,682460.0,331372.0,62912.0,3534.0,0.0,0.0,13167.0,36166.0,47745.0,62963.0,80297.0,102526.0,138692.0,223971.0,313645.0,370649.0,434052.0,634707.0,1047917.0,1339480.0,1632321.0,1408585.0,782464.0,243135.0,41158.0
4947,精神神経用剤,※未登録：パキシル錠１０ｍｇ,錠剤,14688889.0,0.0,0.0,8855.0,36915.0,60663.0,88980.0,149495.0,283153.0,439493.0,636833.0,775705.0,699138.0,510620.0,389382.0,337379.0,298218.0,216119.0,134914.0,51910.0,8225.0,0.0,0.0,0.0,4425.0,33030.0,71345.0,104740.0,180006.0,338329.0,610061.0,917338.0,1084443.0,1017403.0,831587.0,697426.0,902920.0,904725.0,844095.0,603779.0,315663.0,85106.0,10898.0
3373,抗ウイルス剤,ザナミビル水和物,吸入剤・エアゾール剤,14655223.0,18848.0,2291931.0,3005257.0,1128611.0,221030.0,127888.0,125882.0,161703.0,164747.0,141957.0,101758.0,63178.0,42681.0,26327.0,18721.0,11039.0,4329.0,1604.0,0.0,0.0,0.0,19580.0,2060012.0,2317920.0,753896.0,213977.0,169287.0,222108.0,321843.0,310498.0,233031.0,140985.0,78117.0,56245.0,37522.0,26330.0,14608.0,8225.0,3484.0,1380.0,0.0,0.0
5332,耳鼻科用剤,ナファゾリン硝酸塩,点眼・点耳・点鼻剤,14653121.0,142078.0,460536.0,477106.0,374360.0,232419.0,268087.0,346316.0,406413.0,455469.0,504517.0,536943.0,527069.0,530525.0,534648.0,627370.0,518685.0,374650.0,229988.0,56877.0,7504.0,0.0,115478.0,351857.0,324775.0,260234.0,268962.0,361479.0,467304.0,537221.0,555174.0,558976.0,571741.0,495982.0,445304.0,401586.0,442797.0,384468.0,281337.0,145242.0,55443.0,10110.0,0.0
4497,生薬,セッコウ,その他（内服）,14635381.0,29805.0,74669.0,95013.0,181506.0,210872.0,227934.0,283966.0,369714.0,432576.0,611658.0,538504.0,467992.0,293874.0,250777.0,277387.0,207838.0,87952.0,41525.0,11736.0,0.0,1008.0,32030.0,63273.0,85730.0,165903.0,176113.0,227593.0,366618.0,500749.0,940469.0,1295326.0,1948795.0,1417146.0,786078.0,578085.0,598622.0,445084.0,164942.0,75161.0,19421.0,8092.0,0.0
3692,放射性医薬品,塩酸Ｎ－イソプロピル－４－ヨードアンフェタミン（１２３Ｉ）,注射剤,14606389.0,4049.0,13906.0,22674.0,27536.0,29367.0,33662.0,45115.0,66443.0,109228.0,176458.0,280722.0,337959.0,461088.0,718165.0,1324395.0,1618128.0,1433039.0,690965.0,145877.0,12084.0,537.0,4168.0,18301.0,27039.0,39477.0,48119.0,57622.0,58514.0,88742.0,118163.0,209272.0,267106.0,244071.0,289397.0,416829.0,922033.0,1423715.0,1562102.0,964440.0,258952.0,34733.0,1648.0
6566,鎮痛，鎮痒，収斂，消炎剤,※未登録：スピラゾンローション０．３％,点眼・点耳・点鼻剤,14602028.0,1674394.0,815309.0,545108.0,357512.0,290394.0,302202.0,318797.0,334477.0,369008.0,379528.0,354071.0,309686.0,308004.0,340648.0,488349.0,545357.0,452578.0,257232.0,109804.0,18165.0,1470.0,1224394.0,691685.0,460835.0,225096.0,179286.0,189265.0,198654.0,214221.0,229233.0,266554.0,285755.0,213280.0,198985.0,187753.0,257346.0,292698.0,290766.0,229021.0,130891.0,45364.0,5940.0
6956,Ｘ線造影剤,硫酸バリウム,散剤・顆粒剤,14584085.0,70762.0,32364.0,24602.0,37010.0,52197.0,62190.0,76712.0,98583.0,118716.0,237889.0,338037.0,438034.0,605681.0,917695.0,1558857.0,1565162.0,1261549.0,812675.0,360050.0,79647.0,2838.0,65490.0,18095.0,25835.0,32574.0,38566.0,39260.0,48553.0,72167.0,106393.0,171805.0,223316.0,253155.0,335126.0,461302.0,838999.0,887047.0,839343.0,680468.0,425109.0,150808.0,21178.0
5118,糖尿病用剤,※未登録：ピオグリタゾン錠１５ｍｇ「トーワ」,錠剤,14552239.0,0.0,0.0,0.0,1353.0,5593.0,15318.0,40494.0,91713.0,172606.0,407827.0,690879.0,868005.0,1027563.0,1193450.0,1637526.0,1474494.0,968344.0,472738.0,115508.0,12384.0,0.0,0.0,0.0,0.0,0.0,4120.0,10564.0,19415.0,38144.0,69191.0,131377.0,243888.0,332720.0,452514.0,613721.0,996795.0,1019502.0,770239.0,459494.0,156210.0,28290.0,2459.0
