医薬品名,薬価基準収載医薬品コード,一般名,薬剤区分
オルプロリクス静注用３０００,6343441D4027,エフトレノナコグ　アルファ（遺伝子組換え）,注射
オルプロリクス静注用２５０,6343441D5023,エフトレノナコグ　アルファ（遺伝子組換え）,注射
オルプロリクス静注用４０００,6343441D6020,エフトレノナコグ　アルファ（遺伝子組換え）,注射
イロクテイト静注用２５０,6343442D1022,エフラロクトコグ　アルファ（遺伝子組換え）,注射
イロクテイト静注用５００,6343442D2029,エフラロクトコグ　アルファ（遺伝子組換え）,注射
イロクテイト静注用７５０,6343442D3025,エフラロクトコグ　アルファ（遺伝子組換え）,注射
イロクテイト静注用１０００,6343442D4021,エフラロクトコグ　アルファ（遺伝子組換え）,注射
イロクテイト静注用１５００,6343442D5028,エフラロクトコグ　アルファ（遺伝子組換え）,注射
イロクテイト静注用２０００,6343442D6024,エフラロクトコグ　アルファ（遺伝子組換え）,注射
イロクテイト静注用３０００,6343442D7020,エフラロクトコグ　アルファ（遺伝子組換え）,注射
イロクテイト静注用４０００,6343442D8027,エフラロクトコグ　アルファ（遺伝子組換え）,注射
ノボサーティーン静注用２５００,6343443D1027,カトリデカコグ（遺伝子組換え）,注射
アコアラン静注用６００,6343444D1021,アンチトロンビン　ガンマ（遺伝子組換え）,注射
アコアラン静注用１８００,6343444D2028,アンチトロンビン　ガンマ（遺伝子組換え）,注射
アディノベイト静注用キット２５０,6343446G1027,ルリオクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
アディノベイト静注用キット５００,6343446G2023,ルリオクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
アディノベイト静注用キット１０００,6343446G3020,ルリオクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
アディノベイト静注用キット２０００,6343446G4026,ルリオクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
アディノベイト静注用キット１５００,6343446G5022,ルリオクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
アディノベイト静注用キット３０００,6343446G6029,ルリオクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
コバールトリイ静注用２５０,6343447D1025,オクトコグ　ベータ（遺伝子組換え）,注射
コバールトリイ静注用５００,6343447D2021,オクトコグ　ベータ（遺伝子組換え）,注射
コバールトリイ静注用１０００,6343447D3028,オクトコグ　ベータ（遺伝子組換え）,注射
コバールトリイ静注用２０００,6343447D4024,オクトコグ　ベータ（遺伝子組換え）,注射
コバールトリイ静注用３０００,6343447D5020,オクトコグ　ベータ（遺伝子組換え）,注射
イデルビオン静注用２５０,6343448D1020,アルブトレペノナコグ　アルファ（遺伝子組換え）,注射
イデルビオン静注用５００,6343448D2026,アルブトレペノナコグ　アルファ（遺伝子組換え）,注射
イデルビオン静注用１０００,6343448D3022,アルブトレペノナコグ　アルファ（遺伝子組換え）,注射
イデルビオン静注用２０００,6343448D4029,アルブトレペノナコグ　アルファ（遺伝子組換え）,注射
イデルビオン静注用３５００,6343448D5025,アルブトレペノナコグ　アルファ（遺伝子組換え）,注射
ケイセントラ静注用５００,6343449D1024,乾燥濃縮人プロトロンビン複合体,注射
ケイセントラ静注用１０００,6343449D2020,乾燥濃縮人プロトロンビン複合体,注射
エイフスチラ静注用５００,6343450D2023,ロノクトコグ　アルファ（遺伝子組換え）,注射
エイフスチラ静注用１０００,6343450D3020,ロノクトコグ　アルファ（遺伝子組換え）,注射
エイフスチラ静注用１５００,6343450D4026,ロノクトコグ　アルファ（遺伝子組換え）,注射
エイフスチラ静注用２０００,6343450D5022,ロノクトコグ　アルファ（遺伝子組換え）,注射
エイフスチラ静注用２５００,6343450D6029,ロノクトコグ　アルファ（遺伝子組換え）,注射
エイフスチラ静注用３０００,6343450D7025,ロノクトコグ　アルファ（遺伝子組換え）,注射
ヘムライブラ皮下注３０ｍｇ,6343451A1025,エミシズマブ（遺伝子組換え）,注射
ヘムライブラ皮下注６０ｍｇ,6343451A2021,エミシズマブ（遺伝子組換え）,注射
ヘムライブラ皮下注９０ｍｇ,6343451A3028,エミシズマブ（遺伝子組換え）,注射
ヘムライブラ皮下注１０５ｍｇ,6343451A4024,エミシズマブ（遺伝子組換え）,注射
ヘムライブラ皮下注１５０ｍｇ,6343451A5020,エミシズマブ（遺伝子組換え）,注射
ヘムライブラ皮下注１２ｍｇ,6343451A6027,エミシズマブ（遺伝子組換え）,注射
レフィキシア静注用５００,6343452D1026,ノナコグ　ベータ　ペゴル（遺伝子組換え）,注射
レフィキシア静注用１０００,6343452D2022,ノナコグ　ベータ　ペゴル（遺伝子組換え）,注射
レフィキシア静注用２０００,6343452D3029,ノナコグ　ベータ　ペゴル（遺伝子組換え）,注射
ジビイ静注用５００,6343453D1020,ダモクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
ジビイ静注用１０００,6343453D2027,ダモクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
ジビイ静注用２０００,6343453D3023,ダモクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
ジビイ静注用３０００,6343453D4020,ダモクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
イスパロクト静注用５００,6343454D1025,ツロクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
イスパロクト静注用１０００,6343454D2021,ツロクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
イスパロクト静注用１５００,6343454D3028,ツロクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
イスパロクト静注用２０００,6343454D4024,ツロクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
イスパロクト静注用３０００,6343454D5020,ツロクトコグ　アルファ　ペゴル（遺伝子組換え）,注射
ボンベンディ静注用１３００,6343455D1020,ボニコグ　アルファ（遺伝子組換え）,注射
リンスパッド点滴静注用１０００ｍｇ,6343456D1024,乾燥濃縮人α１－プロテイナーゼインヒビター,注射
ヌーイック静注用２５０,6343457D1029,シモクトコグ　アルファ（遺伝子組換え）,注射
ヌーイック静注用５００,6343457D2025,シモクトコグ　アルファ（遺伝子組換え）,注射
ヌーイック静注用１０００,6343457D3021,シモクトコグ　アルファ（遺伝子組換え）,注射
ヌーイック静注用２０００,6343457D4028,シモクトコグ　アルファ（遺伝子組換え）,注射
ヌーイック静注用２５００,6343457D5024,シモクトコグ　アルファ（遺伝子組換え）,注射
ヌーイック静注用３０００,6343457D6020,シモクトコグ　アルファ（遺伝子組換え）,注射
ヌーイック静注用４０００,6343457D7027,シモクトコグ　アルファ（遺伝子組換え）,注射
アレモ皮下注１５ｍｇ,6343458G1020,コンシズマブ（遺伝子組換え）,注射
アレモ皮下注６０ｍｇ,6343458G2026,コンシズマブ（遺伝子組換え）,注射
アレモ皮下注１５０ｍｇ,6343458G3022,コンシズマブ（遺伝子組換え）,注射
